Isin;Name;ReplicationType;Category;TER
IE00BJ0KDQ92;Xtrackers MSCI World UCITS ETF 1C;FC;Developed;0.12
IE00B4L5Y983;iShares Core MSCI World UCITS ETF;FC;Developed;0.20
IE00BFY0GT14;State Street SPDR MSCI World UCITS ETF;FC;Developed;0.12
IE00B44Z5B48;State Street SPDR MSCI All Country World UCITS ETF USD Unhedged (Acc);FC;All World;0.12
IE00BK5BQT80;Vanguard FTSE All-World UCITS ETF (USD) Accumulating;FC;All World;0.19
IE00B6R52259;iShares MSCI ACWI UCITS ETF USD (Acc);FC;All World;0.20
IE00B4X9L533;HSBC MSCI World UCITS ETF USD;FC;Developed;0.15
IE00BD4TXV59;UBS Core MSCI World UCITS ETF USD acc;FT;Developed;0.06
IE000BI8OT95;Amundi Core MSCI World UCITS ETF Acc;FT;Developed;0.12
IE0003XJA0J9;Amundi Prime All Country World UCITS ETF Acc;FT;All World;0.07
IE00B3YLTY66;State Street SPDR MSCI All Country World Investable Market UCITS ETF USD Unhedged (Acc);FC;All World;0.17
IE00B60SX394;Invesco MSCI World UCITS ETF Acc;S;Developed;0.05
LU1681043599;Amundi MSCI World Swap UCITS ETF EUR Acc;S;Developed;0.38
IE00BK5BQV03;Vanguard FTSE Developed World UCITS ETF Acc;FC;Developed;0.12
LU0274208692;Xtrackers MSCI World Swap UCITS ETF 1C;S;Developed;0.45
IE00BYM11H29;UBS MSCI ACWI SF UCITS ETF USD acc;S;All World;0.21
IE000716YHJ7;Invesco FTSE All-World UCITS ETF Acc;FC;All World;0.15
LU1829220216;Amundi MSCI All Country World UCITS ETF EUR Acc;S;All World;0.45
IE000UQND7H4;HSBC MSCI World UCITS ETF USD (Acc);FC;Developed;0.15
IE000F9IDGB5;iShares MSCI World Swap UCITS ETF USD (Acc);S;Developed;0.12
LU2903252349;Scalable MSCI AC World Xtrackers UCITS ETF 1C;I;All World;0.15
FR0014003IY1;Amundi MSCI World Swap II UCITS ETF Acc;S;Developed;0.30
LU1681043672;Amundi MSCI World Swap UCITS ETF USD Acc;S;Developed;0.38
IE00BKM4GZ66;iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc);FT;Emerging;0.18
IE00BTJRMP35;Xtrackers MSCI Emerging Markets UCITS ETF 1C;FC;Emerging;0.18
IE00B4L5YC18;iShares MSCI EM UCITS ETF (Acc);FT;Emerging;0.18
LU0950674175;UBS Core MSCI EM UCITS ETF USD acc;FC;Emerging;0.15
LU2573967036;Amundi Core MSCI Emerging Markets Swap UCITS ETF Acc;S;Emerging;0.14
LU1681045370;Amundi MSCI Emerging Markets Swap UCITS ETF EUR Acc;S;Emerging;0.20
LU1437017350;Amundi Core MSCI Emerging Markets UCITS ETF Acc;FT;Emerging;0.18
IE00BK5BR733;Vanguard FTSE Emerging Markets UCITS ETF (USD) Accumulating;FT;Emerging;0.17
IE00B469F816;State Street SPDR MSCI Emerging Markets UCITS ETF USD;FT;Emerging;0.18
LU1681045453;Amundi MSCI Emerging Markets Swap UCITS ETF USD Acc;S;Emerging;0.20
IE000KCS7J59;HSBC MSCI Emerging Markets UCITS ETF USD (Acc);FT;Emerging;0.15
FR0010429068;Amundi MSCI Emerging Markets Swap II UCITS ETF EUR Acc;S;Emerging;0.55
LU0292107645;Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C;S;Emerging;0.49
LU2300295123;Amundi Prime Emerging Markets UCITS ETF DR (C);FT;Emerging;0.10
IE00B3DWVS88;Invesco MSCI Emerging Markets UCITS ETF Acc;S;Emerging;0.09
IE00B3Z3FS74;UBS MSCI EM SF UCITS ETF USD acc;S;Emerging;0.14
FR0010435297;Amundi MSCI Emerging Markets Swap II UCITS ETF USD Acc;S;Emerging;0.55
